,PC,Address,Recency,Frequency
24656,0xb7fb2cb8,0xbf88acfc,173,410
24657,0xb7fb2cbb,0xbf88acb4,99,440
24658,0xb7fb2cbe,0xbf88ad04,173,404
24659,0xb7fb2cc4,0xb7fc4840,126,440
24660,0xb7fb2cca,0xbf88ac7c,161,185
24661,0xb7fb2ce1,0xb66672f8,125,440
24662,0xb7fb2cf1,0xb7fc46f4,125,440
24663,0xb7fb2d0b,0xb7fc486d,139,440
24664,0xb7fb2d24,0xb7fc4850,251,45
24665,0xb7fb2d31,0xb7fc4718,156,440
24666,0xb7fb2d34,0xb7fc485c,125,440
24667,0xb7fb2d3a,0x80583a8,156,440
24668,0xb7fb2d42,0xb7fc4714,154,440
24669,0xb7fb2d45,0x80583a0,154,440
24670,0xb7fb2f50,0xbf88acc4,232,400
24671,0xb7fb2f56,0xb6533828,0,180505
24672,0xb7fb2f69,0xb6533829,0,180505
24673,0xb7fb2f83,0xb653382a,0,180505
24674,0xb7fb2f99,0xb653382b,0,180505
24675,0xb7fb2fb5,0xbf88aca8,172,2
24676,0xb7fb2fb8,0xb653382c,0,180505
24677,0xb7fb2fcb,0xbf88aca8,171,438
24678,0xb7fb2fce,0xb653382d,0,180505
24679,0xb7fb2ff9,0xb653382e,0,180505
24680,0xb7fb2ff9,0xb653382f,0,180505
24681,0xb7fb2ff9,0xb6533830,0,180505
24682,0xb7fb2ff9,0xb6533831,0,180505
24683,0xb7fb2e73,0xb7fc4850,250,395
24684,0xb7fb2e79,0xb7fc4864,125,424
24685,0xb7fb2e7f,0x804821c,0,180505
24686,0xb7fb2db5,0xb666760c,104,37
24687,0xb7fb2ce1,0xb66672fc,118,470
24688,0xb7fb2cf1,0xb6711874,118,470
24689,0xb7fb2d0b,0xb67119ed,126,470
24690,0xb7fb2d24,0xb67119d0,130,470
24691,0xb7fb2d31,0xb6711898,130,470
24692,0xb7fb2d34,0xb67119dc,118,470
24693,0xb7fb2d3a,0xb669af18,130,470
24694,0xb7fb2d42,0xb6711894,128,470
24695,0xb7fb2d45,0xb669af10,128,470
24696,0xb7fb2d57,0xb67119d4,118,470
24697,0xb7fb2d60,0xb6687244,0,180505
24698,0xb7fb2d73,0xb67119d8,118,470
24699,0xb7fb2d7b,0xbf88ac78,244,37
24700,0xb7fb2db5,0xb666760c,103,37
24701,0xb7fb2ce1,0xb6667300,114,470
24702,0xb7fb2cf1,0xb6711b24,114,470
24703,0xb7fb2d0b,0xb6711c9d,114,470
24704,0xb7fb2d24,0xb6711c80,121,470
24705,0xb7fb2d31,0xb6711b48,117,470
24706,0xb7fb2d34,0xb6711c8c,114,470
24707,0xb7fb2d3a,0xb666cf24,117,470
24708,0xb7fb2d42,0xb6711b44,115,470
24709,0xb7fb2d45,0xb666cf1c,115,470
24710,0xb7fb2d57,0xb6711c84,114,470
24711,0xb7fb2d60,0xb666a164,21,470
24712,0xb7fb2d73,0xb6711c88,114,470
24713,0xb7fb2d7b,0xbf88ac78,243,37
24714,0xb7fb2db5,0xb666760c,102,396
24715,0xb7fb2ce1,0xb6667304,114,470
24716,0xb7fb2cf1,0xb6667014,114,470
24717,0xb7fb2d0b,0xb666718d,310,143
24718,0xb7fb2d24,0xb6667170,216,23
24719,0xb7fb2d31,0xb6667038,120,470
24720,0xb7fb2d34,0xb666717c,114,470
24721,0xb7fb2d3a,0xb6661de0,120,470
24722,0xb7fb2d42,0xb6667034,118,470
24723,0xb7fb2d45,0xb6661dd8,118,470
24724,0xb7fb2d57,0xb6667174,114,470
24725,0xb7fb2d60,0xb6525664,0,180505
24726,0xb7fb2d73,0xb6667178,114,470
24727,0xb7fb2d7b,0xbf88ac78,242,396
24728,0xb7fb2ece,0xb6667170,215,447
24729,0xb7fb2ed4,0xb6667180,101,470
24730,0xb7fb2eda,0xb6526298,1,80677
24731,0xb7fb2eeb,0xb6667184,1095,9
24732,0xb7fb2efc,0xbf88aca0,272,3
24733,0xb7fb2f16,0xb6527c70,1,80683
24734,0xb7fb2f1b,0xbf88aca0,271,467
24735,0xb7fb2f23,0xbf88ac7c,160,255
24736,0xb7fb2f26,0xb6667184,1094,461
24737,0xb7fb2f2c,0xbf88ac80,179,298
24738,0xb7fb2ac0,0xbf88ac5c,435,81
24739,0xb7fb2ac6,0xbf88ac50,427,77
24740,0xb7fb2ac9,0xbf88ac54,426,77
24741,0xb7fb2ace,0xbf88ac58,426,77
24742,0xb7fb2ad1,0xb652d8cc,2,114
24743,0xb7fb2b02,0xb652d8d6,1,80657
24744,0xb7fb2b11,0xb652d8d4,2,73
24745,0xb7fb2b21,0xbf88accc,200,228
24746,0xb7fb2b32,0xb66671a4,100,476
24747,0xb7fb2b38,0xbf88ac3c,462,5
