,PC,Address,Recency,Frequency
16072,0xb7fb3095,0xb66671b8,61,468
16073,0xb7fb30aa,0xbf88ad1c,192,15
16074,0xb7fb30c5,0xbf88ad04,194,36
16075,0xb7fb30d3,0xbf88acfc,194,30
16076,0xb7fb30da,0xbf88acf4,196,15
16077,0xb7fb30de,0xbf88acf0,196,18
16078,0xb7fb30e2,0xbf88acec,191,327
16079,0xb7fb30e6,0xbf88acf8,194,21
16080,0xb7fb30ef,0xbf88ace8,194,11
16081,0xb7fb30fb,0xbf88ad34,191,415
16082,0xb7fb2c84,0xbf88acd8,197,321
16083,0xb7fb2c85,0xbf88acd4,195,319
16084,0xb7fb2c92,0xbf88ac88,1107,120
16085,0xb7fb2cb0,0xb7fc483c,135,468
16086,0xb7fb2cb2,0xbf88ac84,396,28
16087,0xb7fb2cbb,0xbf88acb4,110,468
16088,0xb7fb2cc4,0xb7fc4840,136,468
16089,0xb7fb2cca,0xbf88ac7c,179,205
16090,0xb7fb2ccd,0xbf88ac90,376,84
16091,0xb7fb2ce1,0xb66672f8,135,468
16092,0xb7fb2ce3,0xbf88acb0,647,78
16093,0xb7fb2cea,0xbf88acac,375,84
16094,0xb7fb2cf1,0xb7fc46f4,135,468
16095,0xb7fb2d0b,0xb7fc486d,151,468
16096,0xb7fb2d24,0xb7fc4850,271,42
16097,0xb7fb2d2a,0xbf88ac8c,835,39
16098,0xb7fb2d31,0xb7fc4718,166,468
16099,0xb7fb2d34,0xb7fc485c,135,468
16100,0xb7fb2d3a,0x80583a8,166,468
16101,0xb7fb2d3f,0xbf88ac94,519,43
16102,0xb7fb2d42,0xb7fc4714,164,468
16103,0xb7fb2d45,0x80583a0,164,468
16104,0xb7fb2d48,0xbf88acc8,443,84
16105,0xb7fb2e60,0xbf88ad9c,744,28
16106,0xb7fb2f53,0xbf88ac9c,676,2
16107,0xb7fb2f56,0xb6535aa8,3,21920
16108,0xb7fb2f69,0xb6535aa9,4,21919
16109,0xb7fb2f83,0xb6535aaa,4,21918
16110,0xb7fb2f99,0xb6535aab,4,21917
16111,0xb7fb2fb5,0xbf88aca8,192,2
16112,0xb7fb2fb8,0xb6535aac,4,21914
16113,0xb7fb2fce,0xb6535aad,4,21913
16114,0xb7fb2fd9,0xbf88aca4,1613,1
16115,0xb7fb2ff9,0xb6535aae,4,21910
16116,0xb7fb2ff9,0xb6535aaf,4,21908
16117,0xb7fb2ff9,0xb6535ab0,4,21906
16118,0xb7fb2e79,0xb7fc4864,135,477
16119,0xb7fb2e7f,0x8048260,2,1489
16120,0xb7fb2e84,0xbf88acb8,850,21
16121,0xb7fb2e90,0xbf88ac80,202,1
16122,0xb7fb2ac0,0xbf88ac5c,467,12
16123,0xb7fb2ace,0xbf88ac58,458,8
16124,0xb7fb2ad1,0x8048764,2,1489
16125,0xb7fb2ad6,0xbf88ac28,767,1
16126,0xb7fb2ae5,0x804876c,2,1489
16127,0xb7fb2e98,0xb7fc4860,97,1489
16128,0xb7fb2ea1,0x8048420,2,1489
16129,0xb7fb2d99,0xbf88acb0,646,6
16130,0xb7fb2db5,0xb666760c,125,37
16131,0xb7fb2cd8,0xbf88ac90,375,37
16132,0xb7fb2ce1,0xb66672fc,127,454
16133,0xb7fb2cea,0xbf88acac,374,37
16134,0xb7fb2cf1,0xb6711874,127,454
16135,0xb7fb2d0b,0xb67119ed,135,454
16136,0xb7fb2d24,0xb67119d0,139,454
16137,0xb7fb2d31,0xb6711898,139,454
16138,0xb7fb2d34,0xb67119dc,127,454
16139,0xb7fb2d3a,0xb669af18,139,454
16140,0xb7fb2d42,0xb6711894,137,454
16141,0xb7fb2d45,0xb669af10,137,454
16142,0xb7fb2d48,0xbf88acc8,442,37
16143,0xb7fb2d51,0xbf88ac88,1106,2
16144,0xb7fb2d57,0xb67119d4,127,454
16145,0xb7fb2d60,0xb66871bc,4,4365
16146,0xb7fb2d6d,0xbf88ac74,1088,4
16147,0xb7fb2d73,0xb67119d8,127,454
16148,0xb7fb2d7b,0xbf88ac78,272,37
16149,0xb7fb2ce1,0xb6667300,123,454
16150,0xb7fb2cf1,0xb6711b24,123,454
16151,0xb7fb2d0b,0xb6711c9d,123,454
16152,0xb7fb2d24,0xb6711c80,130,454
16153,0xb7fb2d31,0xb6711b48,126,454
16154,0xb7fb2d34,0xb6711c8c,123,454
16155,0xb7fb2d3a,0xb666cf24,126,454
16156,0xb7fb2d42,0xb6711b44,124,454
16157,0xb7fb2d45,0xb666cf1c,124,454
16158,0xb7fb2d57,0xb6711c84,123,454
16159,0xb7fb2d60,0xb666a16c,31,3279
16160,0xb7fb2d73,0xb6711c88,123,454
16161,0xb7fb2ce1,0xb6667304,123,454
16162,0xb7fb2cf1,0xb6667014,123,454
16163,0xb7fb2d0b,0xb666718d,335,144
16164,0xb7fb2d24,0xb6667170,233,23
16165,0xb7fb2d31,0xb6667038,129,454
16166,0xb7fb2d34,0xb666717c,123,454
16167,0xb7fb2d3a,0xb6661de0,129,454
16168,0xb7fb2d42,0xb6667034,127,454
16169,0xb7fb2d45,0xb6661dd8,127,454
16170,0xb7fb2d57,0xb6667174,123,454
16171,0xb7fb2d60,0xb65252dc,0,180505
16172,0xb7fb2d73,0xb6667178,123,454
16173,0xb7fb2ed4,0xb6667180,109,454
16174,0xb7fb2eda,0xb6525bd8,1,70281
16175,0xb7fb2ee8,0xbf88ac98,606,3
16176,0xb7fb2eeb,0xb6667184,1111,9
16177,0xb7fb2efc,0xbf88aca0,293,3
16178,0xb7fb2f16,0xb6526dc4,1,70287
16179,0xb7fb2f23,0xbf88ac7c,178,263
16180,0xb7fb2f2c,0xbf88ac80,200,466
16181,0xb7fb2ad1,0xb6529e1c,2,115
16182,0xb7fb2ad6,0xbf88ac28,764,1
16183,0xb7fb2b02,0xb6529e26,1,70261
16184,0xb7fb2b11,0xb6529e24,2,73
16185,0xb7fb2b32,0xb66671a4,108,466
16186,0xb7fb2b38,0xbf88ac3c,479,5
16187,0xb7fb2b48,0xb6536fe8,0,180505
16188,0xb7fb2b4c,0xbf88ac40,388,466
16189,0xb7fb2b58,0xb6667194,173,121
16190,0xb7fb2b61,0xb6667604,169,1
16191,0xb7fb2b69,0xb6667600,125,1
16192,0xb7fb2b6d,0xbf88ac2c,294,7
16193,0xb7fb2b70,0xbf88ac30,294,5
16194,0xb7fbe6b0,0xbf88ac24,290,48
16195,0xb7fbe6b3,0xbf88ac20,290,46
16196,0xb7fbe6b4,0xbf88ac1c,290,44
16197,0xb7fbe6be,0xbf88ac18,2787,2
16198,0xb7fbe6c1,0xb6536cd4,125,2
16199,0xb7fbe6c1,0xb6536cd5,125,2
16200,0xb7fbe6c1,0xb6536cd6,125,2
16201,0xb7fbe6c1,0xb6536cd7,125,2
16202,0xb7fbe6c1,0xb6536cd8,125,2
16203,0xb7fbe6c1,0xb6536cd9,125,2
16204,0xb7fbe6c1,0xb6536cda,125,2
16205,0xb7fbe6c1,0xb6536cdb,125,2
16206,0xb7fbe6c1,0xb6536cdc,125,2
16207,0xb7fbe6c1,0xb6536cdd,125,2
16208,0xb7fb2de8,0xb6529e24,1,70189
16209,0xb7fb2df9,0xb7fc3d10,16,1996
16210,0xb7fb2e16,0xbf88acec,190,141
16211,0xb7fb2e1e,0xbf88ad94,557,10
16212,0xb7fb2ddc,0xbf88acd4,194,149
16213,0xb7fb2ddd,0xbf88acd8,196,147
16214,0xb7fb2dde,0xbf88acdc,383,94
16215,0xb7fb2ddf,0xbf88ace0,388,92
16216,0xb7fb2de0,0xbf88ace4,383,90
16217,0xb7fb3242,0xb6529e25,0,180505
16218,0xb7fb325d,0xb666718c,110,465
16219,0xb7fb326f,0xb666718d,334,1
16220,0xb7fb3295,0xbf88ada0,271,69
16221,0xb7fb3296,0xbf88ada4,277,67
16222,0xb7fb3297,0xbf88ada8,297,65
16223,0xb7fb4781,0xbf88aecc,856,20
16224,0xb7fb478c,0xb6667220,62,465
16225,0xb7fb4792,0xb6667224,62,465
16226,0xb7fb479a,0xbf88ae00,370,4
16227,0xb7fb4438,0xb6667000,2338,465
16228,0xb7fb443a,0xb6529e1c,1,70154
16229,0xb7fb444a,0xb7fbf3b0,84,465
16230,0xb7fb4af4,0xbf88adf8,261,12
16231,0xb7fb4afa,0xb6661ee8,1,101369
16232,0xb7fb4586,0xbf88ae0c,293,465
16233,0xb7fb43d7,0xb653a9d8,1,3
16234,0xb7fb43da,0xb653a9d4,0,180505
16235,0xb7fb43e9,0xb6537758,1,346
16236,0xb7fb43f0,0xbf88ae20,124,465
16237,0xb7fb4400,0xb6667194,172,345
16238,0xb7fb4406,0xbf88adfc,310,2
16239,0xb7fb4423,0xb652d9a4,3,332
16240,0xb7fb46c7,0xb6667218,119,11
16241,0xb7fb46d6,0xbf88adce,199,1
16242,0xb7fb4abb,0xbf88ae6c,376,1
16243,0xb7fb4711,0xb666721c,61,465
16244,0xb7fb4731,0xb6667604,167,328
16245,0xb7fb474e,0xbf88ae60,99,465
16246,0xb7fb4754,0xb652d998,0,180505
16247,0xb7fb4760,0xbf88aed0,100,465
16248,0xb7fb3024,0xbf88ada4,276,398
16249,0xb7fb3025,0xbf88ada0,270,396
16250,0xb7fb3026,0xbf88ad9c,741,1
16251,0xb7fb3037,0xbf88ad34,190,53
16252,0xb7fb303a,0xbf88ad30,95,465
16253,0xb7fb29b0,0xbf88ace0,387,15
16254,0xb7fb29b5,0xbf88acdc,382,13
16255,0xb7fb29b6,0xb653307f,1,96
16256,0xb7fb29d1,0xb6533080,1,97
16257,0xb7fb29d1,0xb6533081,1,98
16258,0xb7fb29d1,0xb6533082,1,99
16259,0xb7fb29d1,0xb6533083,1,102
16260,0xb7fb29d1,0xb6533084,1,103
16261,0xb7fb29d1,0xb6533085,1,106
16262,0xb7fb29d1,0xb6533086,1,108
16263,0xb7fb29d1,0xb6533087,1,110
16264,0xb7fb29d1,0xb6533088,1,112
16265,0xb7fb29d1,0xb6533089,1,114
16266,0xb7fb29d1,0xb653308a,1,116
16267,0xb7fb3048,0xb7fc4310,269,1
16268,0xb7fb3058,0xbf88ad3b,190,1
16269,0xb7fb3060,0xbf88ad3c,194,25
16270,0xb7fb306a,0xbf88ad94,554,344
16271,0xb7fb308e,0xbf88ad40,96,483
16272,0xb7fb3095,0xb66671b8,60,483
16273,0xb7fb30aa,0xbf88ad1c,190,15
16274,0xb7fb30c5,0xbf88ad04,192,36
16275,0xb7fb30d3,0xbf88acfc,192,30
16276,0xb7fb30da,0xbf88acf4,194,15
16277,0xb7fb30de,0xbf88acf0,194,18
16278,0xb7fb30e2,0xbf88acec,189,324
16279,0xb7fb30e6,0xbf88acf8,192,21
16280,0xb7fb30ef,0xbf88ace8,192,11
16281,0xb7fb30fb,0xbf88ad34,189,412
16282,0xb7fb2c84,0xbf88acd8,195,318
16283,0xb7fb2c85,0xbf88acd4,193,316
16284,0xb7fb2c92,0xbf88ac88,1095,106
16285,0xb7fb2cb0,0xb7fc483c,134,483
16286,0xb7fb2cb2,0xbf88ac84,392,28
16287,0xb7fb2cbb,0xbf88acb4,109,483
16288,0xb7fb2cc4,0xb7fc4840,135,483
16289,0xb7fb2cca,0xbf88ac7c,177,203
16290,0xb7fb2ccd,0xbf88ac90,372,70
16291,0xb7fb2ce1,0xb66672f8,134,483
16292,0xb7fb2ce3,0xbf88acb0,640,64
16293,0xb7fb2cea,0xbf88acac,371,70
16294,0xb7fb2cf1,0xb7fc46f4,134,483
16295,0xb7fb2d0b,0xb7fc486d,150,483
16296,0xb7fb2d24,0xb7fc4850,269,51
16297,0xb7fb2d2a,0xbf88ac8c,826,48
16298,0xb7fb2d31,0xb7fc4718,165,483
16299,0xb7fb2d34,0xb7fc485c,134,483
16300,0xb7fb2d3a,0x80583a8,165,483
16301,0xb7fb2d3f,0xbf88ac94,513,70
16302,0xb7fb2d42,0xb7fc4714,163,483
16303,0xb7fb2d45,0x80583a0,163,483
16304,0xb7fb2d48,0xbf88acc8,439,70
16305,0xb7fb2e60,0xbf88ad9c,737,37
16306,0xb7fb2f53,0xbf88ac9c,669,2
16307,0xb7fb2f56,0xb653307f,0,180505
16308,0xb7fb2f69,0xb6533080,0,180505
16309,0xb7fb2f83,0xb6533081,0,180505
16310,0xb7fb2f99,0xb6533082,0,180505
16311,0xb7fb2fb5,0xbf88aca8,190,2
16312,0xb7fb2fb8,0xb6533083,0,180505
16313,0xb7fb2fce,0xb6533084,0,180505
16314,0xb7fb2fd9,0xbf88aca4,1606,1
16315,0xb7fb2ff9,0xb6533085,0,180505
16316,0xb7fb2ff9,0xb6533086,0,180505
16317,0xb7fb2ff9,0xb6533087,0,180505
16318,0xb7fb2ff9,0xb6533088,0,180505
16319,0xb7fb2ff9,0xb6533089,0,180505
16320,0xb7fb2ff9,0xb653308a,0,180505
16321,0xb7fb2e79,0xb7fc4864,134,537
16322,0xb7fb2e7f,0x8048338,0,180505
16323,0xb7fb2e84,0xbf88acb8,840,2
16324,0xb7fb2d99,0xbf88acb0,639,6
16325,0xb7fb2db5,0xb666760c,122,37
16326,0xb7fb2cd8,0xbf88ac90,371,37
16327,0xb7fb2ce1,0xb66672fc,126,537
16328,0xb7fb2cea,0xbf88acac,370,37
16329,0xb7fb2cf1,0xb6711874,126,537
16330,0xb7fb2d0b,0xb67119ed,134,537
16331,0xb7fb2d24,0xb67119d0,138,537
16332,0xb7fb2d31,0xb6711898,138,537
16333,0xb7fb2d34,0xb67119dc,126,537
16334,0xb7fb2d3a,0xb669af18,138,537
16335,0xb7fb2d3f,0xbf88ac94,512,37
16336,0xb7fb2d42,0xb6711894,136,537
16337,0xb7fb2d45,0xb669af10,136,537
16338,0xb7fb2d48,0xbf88acc8,438,37
16339,0xb7fb2d51,0xbf88ac88,1094,2
16340,0xb7fb2d57,0xb67119d4,126,537
16341,0xb7fb2d60,0xb6687194,4,6686
16342,0xb7fb2d6d,0xbf88ac74,1076,4
16343,0xb7fb2d73,0xb67119d8,126,537
16344,0xb7fb2d7b,0xbf88ac78,269,37
16345,0xb7fb2ce1,0xb6667300,122,537
16346,0xb7fb2cf1,0xb6711b24,122,537
16347,0xb7fb2d0b,0xb6711c9d,122,537
16348,0xb7fb2d24,0xb6711c80,129,537
16349,0xb7fb2d31,0xb6711b48,125,537
16350,0xb7fb2d34,0xb6711c8c,122,537
